PID,name,overall,age,wage_eur,value_eur,diving,handling,kicking,positioning,reflexes,speed,Cluster
35,Unai Simón,82,24,24000,34500000,82,77,76,85,84,47,Cluster 2
36,D. Livaković,82,26,1000,35000000,81,78,74,80,85,56,Cluster 2
37,A. Consigli,81,34,32000,4400000,81,82,72,80,83,42,Cluster 2
38,S. Mandanda,81,36,24000,2900000,80,80,78,81,81,49,Cluster 2
39,Adán,81,34,14000,4400000,78,81,78,83,80,55,Cluster 2
40,Aitor,81,30,28000,17000000,82,78,67,81,83,56,Cluster 2
41,J. Cillessen,81,32,33000,13000000,81,80,78,81,79,54,Cluster 2
42,A. Marchesín,81,33,14000,8500000,82,77,76,80,83,54,Cluster 2
43,T. Vaclík,81,32,2000,13000000,83,77,74,80,84,40,Cluster 2
44,A. Cragno,81,27,32000,23500000,82,80,73,80,84,39,Cluster 2
45,Rui Silva,81,27,24000,25500000,82,76,75,83,84,31,Cluster 2
46,O. Vlachodimos,81,27,14000,23500000,84,78,67,78,84,43,Cluster 2
47,J. Musso,81,27,44000,23500000,82,78,73,82,86,44,Cluster 2
48,M. Dúbravka,81,32,40000,13000000,79,78,80,79,82,46,Cluster 2
49,David Soria,81,28,30000,20500000,81,80,72,80,82,43,Cluster 2
50,Álex Remiro,81,26,31000,26000000,84,74,80,84,82,42,Cluster 2
51,G. Buffon,80,43,18000,2300000,76,73,70,90,76,34,Cluster 2
52,G. Ochoa,80,35,27000,2300000,79,75,72,80,83,48,Cluster 2
53,I. Akinfeev,80,35,26000,2300000,77,72,78,82,84,51,Cluster 2
54,S. Mignolet,80,33,24000,7000000,80,75,76,84,82,51,Cluster 2
55,F. Muslera,80,35,32000,2300000,78,80,72,82,79,61,Cluster 2
56,R. Bürki,80,30,46000,14000000,81,79,60,77,86,46,Cluster 2
57,Guaita,80,34,48000,3600000,81,79,77,77,82,51,Cluster 2
58,M. Perin,80,28,64000,18000000,80,80,71,79,82,57,Cluster 2
59,E. Andrada,80,30,43000,16000000,76,79,82,81,83,44,Cluster 2
60,Pacheco,80,29,25000,17500000,79,77,70,81,82,46,Cluster 2
61,T. Strakosha,80,26,48000,21000000,82,77,74,77,84,43,Cluster 2
62,F. Armani,80,34,17000,3600000,78,76,67,79,85,43,Cluster 2
63,W. Benítez,80,28,32000,18000000,80,79,72,80,83,48,Cluster 2
64,G. Rulli,80,29,31000,14500000,80,79,78,79,80,54,Cluster 2
65,Pau López,80,26,44000,16500000,80,79,72,80,82,48,Cluster 2
66,M. Dmitrović,80,29,26000,16000000,77,79,78,80,81,37,Cluster 2
67,Héniton Pires,80,25,33000,17000000,81,75,78,81,79,41,Cluster 2
68,D. Henderson,80,24,70000,36000000,80,79,78,76,83,50,Cluster 2
69,J. Pavlenka,80,29,14000,17500000,82,75,60,71,85,36,Cluster 2
70,B. Costil,79,33,24000,5500000,78,77,77,78,80,49,Cluster 2
71,D. Ospina,79,32,48000,8500000,82,72,77,77,84,34,Cluster 2
72,N. Guzmán,79,35,26000,1900000,78,77,71,81,79,51,Cluster 2
73,M. Silvestri,79,30,16000,11500000,82,77,63,80,82,59,Cluster 2
74,R. Gikiewicz,79,33,23000,5500000,80,74,64,77,82,28,Cluster 2
75,B. Lecomte,79,30,41000,13000000,79,77,77,79,80,42,Cluster 2
76,Edgar Badia,79,29,20000,13500000,77,76,76,77,82,44,Cluster 2
77,Kepa,79,26,76000,19000000,78,77,85,76,81,34,Cluster 2
78,Matheus,79,28,15000,15000000,82,75,73,77,83,45,Cluster 2
79,José Sá,79,28,65000,15000000,80,77,62,76,83,44,Cluster 2
80,G. Arias,79,33,18000,5500000,79,73,73,80,83,41,Cluster 2
81,A. Meret,79,24,40000,30000000,80,74,70,78,82,44,Cluster 2
82,U. Çakır,79,25,23000,19000000,80,75,71,79,82,54,Cluster 2
83,Gabri Prestão,79,29,26000,12000000,81,75,71,77,82,60,Cluster 2
84,G. Kobel,79,23,36000,21500000,80,78,77,74,83,26,Cluster 2
85,Pepe Reina,78,38,27000,1600000,77,78,79,79,77,45,Cluster 2
86,A. Talavera,78,38,8000,1600000,80,80,70,75,77,58,Cluster 2
87,B. Foster,78,38,27000,1600000,78,77,73,78,78,46,Cluster 2
88,C. Bravo,78,38,13000,1600000,77,78,84,78,78,56,Cluster 2
89,A. Oukidja,78,32,17000,7000000,79,73,69,78,83,47,Cluster 2
90,M. Hitz,78,33,39000,4600000,81,74,79,77,79,43,Cluster 2
91,S. Ortega,78,28,22000,12000000,73,72,86,74,85,52,Cluster 2
92,S. Sosa,78,34,12000,2400000,77,70,71,81,80,50,Cluster 2
93,Helton Leite,78,30,12000,10500000,77,73,70,76,81,53,Cluster 2
94,Sergio Herrera,78,28,24000,12000000,80,77,74,75,78,47,Cluster 2
95,E. Audero,78,24,14000,15000000,80,73,73,76,82,53,Cluster 2
96,A. Lunev,78,29,39000,11000000,79,73,65,77,82,56,Cluster 2
97,A. Lafont,78,22,18000,17500000,80,76,69,74,82,47,Cluster 2
98,P. Rajković,78,25,20000,16500000,77,76,74,79,81,25,Cluster 2
99,O. Kolář,78,26,900,15000000,77,80,78,78,77,57,Cluster 2
100,A. McGregor,77,39,23000,1200000,77,75,70,78,79,36,Cluster 2
101,Diego López,77,39,9000,1200000,73,76,71,79,75,44,Cluster 2
102,T. Krul,77,33,27000,3400000,77,75,71,77,79,40,Cluster 2
103,Guilherme,77,35,22000,1200000,81,71,73,76,80,38,Cluster 2
104,M. Ryan,77,29,25000,8500000,77,75,82,76,79,53,Cluster 2
105,M. Sels,77,29,20000,8500000,76,75,75,76,76,36,Cluster 2
106,M. Bizot,77,30,16000,8000000,80,74,69,75,77,46,Cluster 2
107,C. Tătărușanu,77,35,18000,1200000,77,74,74,78,78,45,Cluster 2
108,A. Schwolow,77,29,34000,8500000,76,75,66,76,80,37,Cluster 2
109,P. Gazzaniga,77,29,43000,7000000,79,75,85,76,79,64,Cluster 2
110,S. Johnstone,77,28,35000,9500000,79,74,70,76,79,42,Cluster 2
111,Sergio Rico,77,27,49000,9500000,77,74,77,74,80,47,Cluster 2
112,C. Vargas,77,32,12000,5000000,76,72,69,75,78,44,Cluster 2
113,B. Drągowski,77,23,30000,12000000,79,73,70,77,80,44,Cluster 2
114,J. Ledesma,77,28,24000,9500000,78,77,67,74,80,46,Cluster 2
115,J. Omlin,77,27,20000,11000000,77,75,73,75,79,50,Cluster 2
116,P. Bernardoni,77,24,15000,13000000,78,74,73,77,82,29,Cluster 2
117,A. Rossi,77,25,13000,12500000,76,74,73,79,77,41,Cluster 2
118,Lucas Mantela,77,21,18000,9500000,79,77,75,77,71,35,Cluster 2
119,J. Bijlow,77,23,8000,20000000,80,75,77,73,78,57,Cluster 2
120,Z. Steffen,77,26,73000,12000000,78,73,74,72,83,53,Cluster 2
121,F. Müller,77,23,18000,13000000,76,74,72,73,81,43,Cluster 2
122,I. Meslier,77,21,34000,20500000,79,76,73,73,81,36,Cluster 2
123,A. Bayındır,77,23,28000,18000000,79,73,71,77,81,21,Cluster 2
124,M. Stekelenburg,76,38,8000,825000,75,75,75,77,74,32,Cluster 2
125,R. Jarstein,76,36,19000,825000,74,71,70,80,78,40,Cluster 2
126,Andrés Fernández,76,34,10000,1300000,78,74,67,75,76,57,Cluster 2
127,Iván Cuéllar,76,37,6000,825000,75,76,73,74,77,51,Cluster 2
128,T. Heaton,76,35,42000,825000,74,75,74,78,75,56,Cluster 2
129,A. Shunin,76,34,,,77,73,70,75,78,46,Cluster 2
130,Marcelo Grohe,76,34,27000,1300000,76,75,66,76,78,39,Cluster 2
131,A. Begović,76,34,49000,1300000,76,77,73,74,76,47,Cluster 2
132,L. Burián,76,37,7000,825000,76,72,73,78,76,48,Cluster 2
133,R. Cota,76,33,18000,2400000,75,70,67,79,79,58,Cluster 2
134,A. Luthe,76,34,22000,1300000,77,70,61,78,77,38,Cluster 2
135,K. Darlow,76,30,28000,5500000,77,73,68,75,78,58,Cluster 2
136,Joel Robles,76,31,17000,4000000,77,74,73,74,78,52,Cluster 2
137,Jordi Masip,76,32,9000,3700000,76,74,70,73,76,65,Cluster 2
138,T. Horn,76,28,21000,6500000,77,77,60,70,78,47,Cluster 2
139,A. Gomis,76,27,30000,7000000,76,76,70,75,76,42,Cluster 2
140,H. Van Crombrugge,76,28,18000,6500000,77,73,75,77,79,37,Cluster 2
141,M. Borjan,76,33,,,78,74,74,74,73,44,Cluster 2
142,Y. Mvogo,76,27,43000,7500000,78,74,75,73,79,42,Cluster 2
143,R. Olsen,76,31,33000,4000000,77,75,74,75,77,35,Cluster 2
144,M. Müller,76,27,12000,7500000,74,73,70,77,78,30,Cluster 2
145,M. Sportiello,76,29,33000,5000000,76,74,68,76,78,44,Cluster 2
146,A. Blake,76,30,7000,5000000,78,68,68,78,80,45,Cluster 2
147,D. von Ballmoos,76,26,13000,8000000,77,75,74,75,77,53,Cluster 2
148,S. Rochet,76,28,1000,6500000,76,78,67,76,77,49,Cluster 2
149,Robert Sanchéz,76,23,31000,9500000,76,73,69,75,78,45,Cluster 2
150,Fred Aníbão,76,29,13000,5000000,71,77,76,72,77,32,Cluster 2
151,Nelsildo Reis,76,21,7000,8000000,76,77,77,76,74,53,Cluster 2
152,Pierrino Faria,76,37,13000,825000,77,71,65,77,79,47,Cluster 2
153,G. Larsonneur,76,24,12000,8000000,76,75,72,75,79,52,Cluster 2
154,C. Acevedo,76,25,15000,9500000,77,72,69,75,80,41,Cluster 2
155,F. Niță,76,33,850,2400000,76,75,70,77,77,27,Cluster 3
156,Luís Maximiano,76,22,14000,13000000,77,74,65,74,78,55,Cluster 2
157,A. Pyatov,75,37,500,625000,72,69,78,83,73,44,Cluster 3
158,J. Leca,75,35,13000,625000,75,72,76,73,77,46,Cluster 2
159,J. Corona,75,40,23000,625000,72,77,68,78,73,39,Cluster 2
160,R. Pasveer,75,37,8000,625000,74,72,85,77,74,45,Cluster 2
161,J. Orozco,75,35,10000,625000,75,71,81,75,74,59,Cluster 2
162,D. Randolph,75,34,40000,950000,77,72,67,73,76,42,Cluster 2
163,F. Forster,75,33,34000,1800000,75,71,64,74,79,30,Cluster 2
164,S. Ulreich,75,32,41000,2800000,76,69,62,75,79,41,Cluster 2
165,E. Berisha,75,32,28000,2800000,74,74,66,74,76,28,Cluster 2
166,A. McCarthy,75,31,34000,3000000,74,74,61,75,80,57,Cluster 2
167,Ł. Skorupski,75,30,22000,4200000,78,72,54,74,81,51,Cluster 2
168,M. Günok,75,32,28000,2800000,73,72,76,78,79,56,Cluster 2
169,G. Makaridze,75,31,9000,3000000,78,73,62,73,74,44,Cluster 2
170,J. Zoet,75,30,13000,3700000,74,74,75,75,77,51,Cluster 2
171,K. Nordfeldt,75,32,7000,2800000,74,71,69,75,76,51,Cluster 2
172,Paulo Victor,75,34,8000,950000,71,72,70,75,81,42,Cluster 2
173,Herrerín,75,33,15000,1800000,76,75,80,73,72,43,Cluster 2
174,B. Hamid,75,30,7000,3700000,76,71,69,77,75,40,Cluster 2
175,M. Silva,75,38,600,625000,78,73,72,73,81,31,Cluster 3
176,Diego Mariño,75,31,8000,3000000,76,74,67,70,79,50,Cluster 2
177,Gabriel,75,28,4000,4500000,77,73,68,75,77,36,Cluster 2
178,L. Mejía,75,30,600,3700000,79,69,67,71,76,55,Cluster 3
179,L. Karius,75,28,61000,5000000,80,68,75,72,79,55,Cluster 2
180,S. Dioudis,75,28,700,4800000,77,72,68,74,80,42,Cluster 2
181,M. Dituro,75,34,16000,950000,72,72,75,77,77,38,Cluster 2
182,Rubén Blanco,75,25,15000,6000000,79,75,73,73,74,53,Cluster 2
183,S. Dimitrievski,75,27,14000,6000000,74,76,72,76,76,36,Cluster 2
184,M. Flekken,75,28,20000,4800000,76,69,75,73,77,31,Cluster 2
185,Jo Hyeon Woo,75,29,9000,4700000,76,71,60,73,81,51,Cluster 2
186,N. Vikonis,75,37,7000,625000,76,72,68,74,77,41,Cluster 2
187,G. Herrera,75,29,12000,4300000,75,73,73,75,77,59,Cluster 2
188,Jaume,75,30,22000,3700000,73,77,74,71,75,58,Cluster 2
189,E. Unsain,75,26,11000,5500000,79,69,76,71,79,57,Cluster 2
190,A. Nübel,75,24,34000,7000000,75,65,71,76,85,48,Cluster 2
191,M. Díaz,75,35,7000,625000,75,73,65,79,74,42,Cluster 2
192,J. Drommel,75,24,10000,7000000,75,73,77,74,77,51,Cluster 2
193,Simão Donatinho,75,25,19000,4600000,76,70,77,75,75,43,Cluster 2
194,Walexinton,75,29,12000,3800000,74,71,69,75,76,37,Cluster 2
195,Kaíquão Castro,75,25,16000,4600000,77,76,61,72,73,36,Cluster 2
196,M. Turner,75,27,7000,5000000,76,71,66,79,76,38,Cluster 2
197,I. Radu,75,24,43000,7000000,79,69,72,75,80,40,Cluster 2
198,G. Bushchan,75,27,750,6000000,75,65,80,72,79,27,Cluster 3
199,K. Dawson,75,29,950,4700000,77,73,71,72,71,31,Cluster 3
200,G. Mamardashvili,75,20,14000,10500000,76,77,71,76,79,44,Cluster 2
201,J. Hansen,74,36,7000,475000,74,72,76,74,74,41,Cluster 3
202,J. Hart,74,34,32000,725000,68,76,66,75,76,49,Cluster 2
203,S. Viera,74,38,2000,475000,71,73,71,75,76,39,Cluster 3
204,W. Hennessey,74,34,22000,725000,76,74,77,74,71,40,Cluster 2
205,R. Fährmann,74,32,9000,2100000,76,72,42,73,79,42,Cluster 3
206,D. Vukovic,74,36,6000,475000,72,70,63,78,75,51,Cluster 3
207,Oier,74,31,12000,2200000,73,73,72,74,73,47,Cluster 2
208,C. Álvarez,74,35,5000,475000,74,72,70,76,76,46,Cluster 3
209,E. Room,74,32,6000,2100000,76,69,68,71,76,45,Cluster 2
210,A. Hansen,74,31,6000,2200000,76,68,70,75,78,36,Cluster 2
211,S. Frei,74,35,4000,475000,75,70,67,75,74,44,Cluster 3
212,H. Lindner,74,30,10000,2800000,78,71,67,73,75,42,Cluster 2
213,Adrián,74,34,53000,725000,77,70,68,72,77,45,Cluster 2
214,Cláudio Ramos,74,29,9000,3500000,78,72,64,71,75,55,Cluster 2
215,M. Riemann,74,32,16000,2100000,73,71,72,72,76,52,Cluster 2
216,L. Unnerstall,74,30,8000,2800000,74,74,70,74,75,32,Cluster 2
217,P. Pervan,74,33,33000,1400000,72,74,69,72,75,30,Cluster 2
218,F. Rønnow,74,28,20000,3000000,76,70,67,72,77,47,Cluster 2
219,D. Ward,74,28,53000,3000000,75,72,66,73,75,45,Cluster 2
220,Jordi,74,27,8000,4100000,75,73,71,71,78,45,Cluster 2
221,J. Burrai,74,30,900,2800000,75,72,70,73,75,44,Cluster 3
222,A. Aguerre,74,30,10000,2800000,75,72,63,73,76,47,Cluster 2
223,L. Montipò,74,25,11000,5000000,74,71,70,72,76,41,Cluster 2
224,A. Schlager,74,25,17000,4600000,75,69,66,73,77,34,Cluster 2
225,J. Broun,74,35,8000,475000,71,68,69,76,77,43,Cluster 3
226,David Raya,74,25,27000,4600000,73,73,76,70,74,53,Cluster 2
227,F. Woodman,74,24,20000,7000000,74,70,70,73,74,47,Cluster 2
228,R. Zentner,74,26,16000,4200000,74,70,64,72,79,65,Cluster 2
229,L. Hoyos,74,32,10000,2100000,79,69,68,66,80,62,Cluster 2
230,I. Provedel,74,27,12000,3900000,75,73,66,72,75,42,Cluster 2
231,M. Campaña,74,32,12000,2100000,72,73,72,76,74,44,Cluster 2
232,P. Gallese,74,31,6000,2200000,75,67,69,72,75,47,Cluster 2
233,Léo Jardim,74,26,21000,4500000,76,72,68,69,75,41,Cluster 2
234,G. Alcalá,74,28,15000,3600000,73,73,65,74,73,59,Cluster 2
235,Nilson Alfarinho,74,37,15000,475000,68,71,72,78,77,34,Cluster 3
236,Enzo Marteiro,74,29,24000,2900000,82,73,73,74,69,40,Cluster 2
237,Victorino Magela,74,21,6000,3700000,71,72,73,75,76,41,Cluster 2
238,Adrian Scitto,74,29,19000,2900000,68,76,74,77,73,17,Cluster 2
239,Miguel Silva,74,26,8000,4900000,77,68,59,72,76,53,Cluster 2
240,A. Maksimenko,74,23,26000,7000000,75,70,67,72,78,47,Cluster 2
241,A. Ramsdale,74,23,36000,5000000,75,72,69,71,76,48,Cluster 2
242,D. Akpeyi,74,35,500,475000,74,72,68,75,75,24,Cluster 3
243,A. Lunin,74,22,59000,8000000,71,70,73,74,76,37,Cluster 2
244,A. Šemper,74,23,10000,4500000,74,74,63,75,75,31,Cluster 2
245,Y. Dyupin,74,33,,,76,71,68,74,78,20,Cluster 3
246,R. Ofori,74,27,700,4100000,74,70,77,75,74,42,Cluster 3
247,A. Mandous,74,29,750,3200000,74,76,74,76,74,19,Cluster 3
248,P. Kieszek,73,37,4000,350000,72,71,68,73,74,51,Cluster 3
249,R. Salin,73,36,16000,350000,72,69,68,73,74,30,Cluster 3
250,P. Pentke,73,36,13000,350000,74,69,66,73,77,37,Cluster 3
251,S. Bolat,73,32,14000,1500000,70,75,74,73,72,44,Cluster 2
252,D. Padelli,73,35,7000,350000,72,72,63,76,70,45,Cluster 3
253,Manolo Reina,73,36,10000,350000,71,69,67,74,75,56,Cluster 3
254,M. Andújar,73,37,6000,350000,72,71,62,75,75,45,Cluster 3
255,Marco Pereira,73,34,5000,525000,72,68,76,72,73,57,Cluster 3
256,T. Sippel,73,33,16000,1000000,74,69,76,69,77,47,Cluster 2
257,Kiko Casilla,73,34,40000,525000,74,70,72,69,74,47,Cluster 3
258,Fabricio,73,33,31000,1000000,72,75,71,70,73,57,Cluster 2
259,E. Kawashima,73,38,9000,350000,72,71,72,73,73,43,Cluster 3
260,M. Männel,73,33,7000,1000000,76,73,60,73,75,49,Cluster 3
261,O. Karnezis,73,35,13000,350000,73,72,69,75,74,38,Cluster 3
262,Roberto,73,35,5000,350000,74,66,72,71,77,46,Cluster 3
263,Yoel,73,32,8000,1500000,74,73,69,71,70,38,Cluster 3
264,R. Zieler,73,32,17000,1500000,70,69,70,73,74,48,Cluster 2
265,T. Kaminski,73,28,27000,2600000,72,75,69,67,74,46,Cluster 2
266,K. Johnsson,73,31,13000,1600000,72,72,71,74,74,50,Cluster 2
267,S. Johnson,73,32,6000,1500000,73,67,70,70,76,42,Cluster 3
268,O. Jiménez,73,32,26000,1500000,73,73,68,72,73,33,Cluster 2
269,V. Belec,73,31,24000,1600000,73,72,65,71,74,49,Cluster 2
270,M. Heča,73,30,700,2000000,74,74,67,72,72,45,Cluster 3
271,F. Bardi,73,29,20000,2100000,75,71,65,70,76,49,Cluster 2
272,Juan Carlos,73,33,8000,1000000,71,73,73,72,74,59,Cluster 2
273,D. Bentley,73,27,21000,2800000,77,66,68,72,73,46,Cluster 2
274,T. Melia,73,35,4000,350000,73,68,73,74,73,38,Cluster 3
275,J. Butland,73,28,31000,2400000,73,68,66,74,75,57,Cluster 2
276,B. Reynet,73,30,4000,2000000,72,71,73,74,75,43,Cluster 2
277,B. Samba,73,27,28000,3000000,75,67,76,71,74,53,Cluster 2
278,Fernando,73,31,8000,1600000,73,72,68,69,73,48,Cluster 3
279,S. Kapino,73,27,15000,3000000,74,67,66,72,79,41,Cluster 2
280,S. Lung,73,32,9000,1500000,72,70,66,74,74,37,Cluster 3
281,P. Nardi,73,27,12000,3200000,76,67,68,71,78,50,Cluster 2
282,A. Linde,73,27,5000,3000000,76,68,66,73,76,48,Cluster 2
283,A. Brignoli,73,29,600,2300000,72,72,75,73,73,32,Cluster 3
284,L. Cháves,73,25,8000,3600000,76,69,66,74,74,49,Cluster 2
285,M. Crépeau,73,27,6000,3000000,71,70,70,73,74,49,Cluster 2
286,I. Arboleda,73,25,11000,3800000,75,69,66,71,75,60,Cluster 2
287,G. Gallon,73,28,12000,2600000,73,71,72,73,74,40,Cluster 2
288,R. Rey,73,30,11000,2300000,74,70,69,73,75,50,Cluster 2
289,S. Moyano,73,30,9000,2000000,73,69,68,72,74,54,Cluster 2
290,C. Stanković,73,28,850,2600000,77,70,60,69,77,39,Cluster 3
291,S. Torrico,73,41,6000,350000,70,69,69,77,74,41,Cluster 3
292,L. Kalinić,73,31,700,1600000,75,73,48,74,74,34,Cluster 3
293,J. Rinne,73,28,10000,2800000,72,71,76,71,74,46,Cluster 2
294,D. Dibusz,73,30,700,2000000,72,72,70,68,77,24,Cluster 3
295,J. Staněk,73,25,650,3800000,75,73,72,74,74,42,Cluster 3
296,M. Rodák,73,24,25000,5000000,76,70,72,69,75,47,Cluster 2
297,Munir,73,32,9000,1500000,73,72,68,70,75,45,Cluster 2
298,Yan Junling,73,30,14000,2000000,72,70,69,72,74,49,Cluster 2
299,W. Faríñez,73,23,14000,3500000,70,69,69,74,76,52,Cluster 2
300,Jaim Abra,73,29,11000,2100000,77,71,68,73,74,55,Cluster 2
301,Freder Cabral,73,29,21000,2100000,73,77,69,76,66,46,Cluster 2
302,D. Boyko,73,33,650,1000000,76,67,68,75,72,49,Cluster 3
303,Diogo Costa,73,21,5000,6500000,73,71,65,73,75,32,Cluster 3
304,Álvaro,73,23,7000,6000000,77,68,67,72,75,47,Cluster 2
305,A. Abedzadeh,73,28,6000,2400000,72,70,67,73,73,28,Cluster 3
306,A. Bodart,73,23,8000,3900000,73,73,68,70,75,29,Cluster 3
307,H. Koffi,73,24,8000,3700000,75,71,69,69,76,56,Cluster 2
308,N. Baumann,73,25,7000,3800000,76,73,67,73,74,28,Cluster 2
309,I. Grbić,73,25,25000,3800000,70,72,70,71,75,28,Cluster 2
310,E. Bologna,72,39,6000,250000,73,67,71,71,73,42,Cluster 3
311,A. Cordaz,72,38,25000,250000,67,71,62,72,74,26,Cluster 3
312,B. Białkowski,72,33,9000,750000,67,72,67,75,71,41,Cluster 3
313,C. Lucchetti,72,43,4000,250000,73,70,77,69,70,42,Cluster 3
314,O. Ustari,72,34,10000,400000,68,74,70,73,72,36,Cluster 3
315,E. Viviano,72,35,6000,250000,70,72,69,74,72,35,Cluster 3
316,J. Lössl,72,32,15000,1200000,73,72,68,70,72,31,Cluster 3
317,R. Gurtner,72,34,4000,400000,70,69,71,70,72,42,Cluster 3
318,A. Gabbarini,72,35,500,250000,69,70,65,74,74,45,Cluster 3
319,A. Smithies,72,31,18000,1200000,72,70,69,73,72,59,Cluster 2
320,V. Fiorillo,72,31,21000,1200000,73,68,64,70,76,38,Cluster 3
321,H. González,72,30,23000,1600000,72,70,70,76,68,33,Cluster 3
322,S. Burchert,72,31,13000,1200000,72,70,68,73,73,46,Cluster 3
323,C. Pinsoglio,72,31,32000,1200000,74,70,58,74,76,42,Cluster 3
324,J. Steer,72,28,31000,1900000,73,70,70,70,72,51,Cluster 2
325,N. Etheridge,72,31,12000,1200000,73,65,61,73,75,52,Cluster 3
326,J. Siebenhandl,72,31,12000,1200000,72,68,75,69,74,46,Cluster 3
327,Pedro Trigueira,72,33,5000,750000,67,69,72,70,75,45,Cluster 3
328,Renan Ribeiro,72,31,7000,1200000,75,65,64,72,76,52,Cluster 3
329,S. Clark,72,35,3000,250000,71,69,65,74,73,48,Cluster 3
330,K. Lamprou,72,29,7000,1600000,74,65,74,67,78,44,Cluster 3
331,J. Joronen,72,28,,,70,70,68,71,72,47,Cluster 3
332,M. Esser,72,33,13000,750000,73,71,66,70,74,38,Cluster 3
333,K. Müller,72,30,13000,1600000,72,68,64,72,74,48,Cluster 3
334,J. Blaswich,72,30,5000,1800000,71,70,67,71,76,43,Cluster 3
335,I. Gelios,72,29,14000,1600000,74,69,61,71,74,46,Cluster 3
336,M. Dupé,72,28,5000,2000000,74,71,63,68,75,46,Cluster 3
337,R. Strebinger,72,28,16000,2000000,71,64,63,73,77,37,Cluster 3
338,M. Gersbeck,72,26,9000,2200000,67,74,61,73,72,42,Cluster 3
339,A. Selikhov,72,27,26000,2100000,72,69,71,74,74,39,Cluster 2
340,M. Ibáñez,72,34,9000,400000,71,72,65,73,70,39,Cluster 3
341,A. Gunn,72,25,17000,2600000,73,70,69,69,74,48,Cluster 2
342,A. Martín Arias,72,28,2000,2000000,73,69,68,70,75,52,Cluster 3
343,Cantero,72,26,7000,2700000,71,74,67,72,73,59,Cluster 2
344,Bruno Varela,72,26,6000,2200000,74,69,63,72,75,39,Cluster 3
345,T. Didillon,72,25,7000,2600000,74,68,66,73,74,56,Cluster 2
346,S. Scuffet,72,25,650,2400000,72,69,60,70,79,50,Cluster 3
347,Kang Hyeon Mu,72,26,5000,2200000,73,67,65,70,78,44,Cluster 3
348,J. Prior,72,25,5000,2400000,71,69,68,71,76,51,Cluster 3
349,Sivera,72,24,10000,3000000,72,70,68,73,72,57,Cluster 2
350,L. Zingerle,72,27,9000,2000000,70,69,67,72,75,42,Cluster 3
351,J. Butez,72,26,11000,2500000,72,71,74,70,73,45,Cluster 2
352,R. Gudiño,72,25,22000,2200000,72,72,62,69,74,47,Cluster 3
353,A. Aguilar,72,32,750,1200000,76,69,69,68,75,46,Cluster 3
354,P. Pentz,72,24,9000,4500000,70,68,73,72,74,53,Cluster 2
